,htest,zuo
1,Anal Canal/surgery,Pelvic Organ Prolapse/surgery
2,Body Image,Uterine Prolapse/surgery
3,"Colon, Sigmoid/surgery",Gynecologic Surgical Procedures/methods
4,Colposcopy/adverse effects,Surgical Mesh
5,Colposcopy/methods,Vagina/surgery
6,Constipation/surgery, Surgical Mesh/adverse effects
7,Cystocele/complications,"Urinary Incontinence, Stress/surgery"
8,Cystocele/diagnosis,Laparoscopy/methods
9,Cystocele/surgery,Cystocele/surgery
10,"Delivery, Obstetric/adverse effects", Suburethral Slings
11,Device Removal,Quality of Life
12,Digestive System Surgical Procedures/adverse effects, Gynecologic Surgical Procedures/adverse effects
13,Digestive System Surgical Procedures/methods, Pelvic Organ Prolapse/therapy
14,Exercise Therapy/methods,Pelvic Organ Prolapse/diagnosis
15,Fecal Incontinence/diagnosis,Pelvic Floor/physiopathology
16,Fecal Incontinence/epidemiology,Pelvic Floor/surgery
17,Fecal Incontinence/surgery,Pelvic Organ Prolapse/epidemiology
18,Fecal Incontinence/therapy,Pelvic Organ Prolapse/physiopathology
19,Female Urogenital Diseases/diagnosis,Uterine Prolapse/diagnosis
20,Gynecologic Surgical Procedures/adverse effects,Pelvic Organ Prolapse/complications
21,Gynecologic Surgical Procedures/instrumentation,Ligaments/surgery
22,Gynecologic Surgical Procedures/methods,Urinary Incontinence/surgery
23,Gynecology,Urologic Surgical Procedures/methods
24,Hemorrhoids/surgery,Suburethral Slings/adverse effects
25,"Hysterectomy, Vaginal/methods",Pelvic Organ Prolapse/pathology
26,Hysterectomy/adverse effects,Gynecologic Surgical Procedures/instrumentation
27,Hysterectomy/methods,Reconstructive Surgical Procedures/methods
28,"Imaging, Three-Dimensional",Postoperative Complications/etiology
29,Intestinal Obstruction/surgery,Surveys and Questionnaires
30,Intraoperative Complications/epidemiology,Pelvic Organ Prolapse/etiology
31,Intussusception/surgery, Uterine Prolapse/etiology
32,Laparoscopy,Uterine Prolapse/physiopathology
33,Laparoscopy/adverse effects,Uterine Prolapse/complications
34,Laparoscopy/economics,Laparoscopy
35,Laparoscopy/methods,Postoperative Complications/etiology
36,Ligaments/metabolism,Uterine Prolapse/epidemiology
37,Ligaments/surgery,Gynecologic Surgical Procedures
38,Magnetic Resonance Imaging/methods,Uterine Prolapse/pathology
39,Muscle Contraction/physiology,Uterine Prolapse/therapy
40,Parity,Hysterectomy/adverse effects
41,Patient Satisfaction,Robotics
42,Pelvic Floor Disorders/epidemiology,Hysterectomy/methods
43,Pelvic Floor/diagnostic imaging,Vagina/pathology
44,Pelvic Floor/injuries,Patient Satisfaction
45,Pelvic Floor/pathology,Pessaries
46,Pelvic Floor/physiopathology, Polypropylenes
47,Pelvic Floor/surgery,"Urinary Incontinence, Stress/epidemiology"
48,Pelvic Organ Prolapse/complications,Urodynamics
49,Pelvic Organ Prolapse/diagnosis, Pelvic Floor/pathology
50,Pelvic Organ Prolapse/epidemiology,Severity of Illness Index
51,Pelvic Organ Prolapse/etiology,Pelvic Floor/ultrasonography
52,Pelvic Organ Prolapse/genetics,Pelvic Organ Prolapse/psychology
53,Pelvic Organ Prolapse/metabolism,Colposcopy/methods
54,Pelvic Organ Prolapse/pathology,Pelvic Organ Prolapse/metabolism
55,Pelvic Organ Prolapse/physiopathology,Pelvic Organ Prolapse/ultrasonography
56,Pelvic Organ Prolapse/psychology,
57,Pelvic Organ Prolapse/surgery,
58,Pelvic Organ Prolapse/therapy,
59,Perineum/surgery,
60,Pessaries,
61,Pessaries/adverse effects,
62,Polypropylenes,
63,Postoperative Complications/epidemiology,
64,Postoperative Complications/etiology,
65,Quality of Life,
66,Reconstructive Surgical Procedures/methods,
67,Rectal Prolapse/surgery,
68,Rectocele/surgery,
69,Robotics,
70,Sacrum/surgery,
71,"Sexual Dysfunction, Physiological/diagnosis",
72,Suburethral Slings,
73,Suburethral Slings/adverse effects,
74,Surgical Mesh,
75,Surgical Mesh/adverse effects,
76,Surveys and Questionnaires,
77,"Urinary Bladder, Overactive/etiology",
78,"Urinary Incontinence, Stress/epidemiology",
79,"Urinary Incontinence, Stress/physiopathology",
80,"Urinary Incontinence, Stress/surgery",
81,Urinary Incontinence/complications,
82,Urinary Incontinence/diagnosis,
83,Urinary Incontinence/epidemiology,
84,Urinary Incontinence/physiopathology,
85,Urinary Incontinence/psychology,
86,Urinary Incontinence/surgery,
87,Uterine Prolapse/metabolism,
88,Uterine Prolapse/pathology,
89,Uterine Prolapse/physiopathology,
90,Uterine Prolapse/surgery,
91,Rectum/surgery,
92,Robotic Surgical Procedures/rehabilitation,
93,"Urinary Incontinence, Stress/complications",
94,Rectal Prolapse/etiology,
95,Urologic Surgical Procedures/methods,
96,Vagina/surgery,
97,Rectal Diseases/surgery,
98,Pelvic Organ Prolapse/prevention & control,
99,Uterine Prolapse/epidemiology,
100,Urinary Incontinence/therapy,
101,"Urinary Incontinence, Stress/etiology",
102,Urology,
103,Surgical Stapling,
104,Surgical Stapling/methods,
105,Robotics/economics,
106,Sacrum/metabolism,
107,Uterus/metabolism,
108,Uterine Prolapse/diagnosis,
109,Pelvic Organ Prolapse/diagnostic imaging,
110,"Sexual Dysfunction, Physiological/etiology",
111,Severity of Illness Index,
112,"Polymorphism, Single Nucleotide",
113,Vagina/metabolism,
114,Ureteral Diseases/surgery,
115,Vagina/pathology,
116,Urodynamics,
117,Vagina/physiopathology,
118,Surveys and Questionnaires/standards,
119,Pessaries/statistics & numerical data,
120,"Urinary Incontinence, Stress/therapy",
121,Uterine Prolapse/therapy,
122,Urologic Surgical Procedures/adverse effects,
123,Uterine Prolapse/complications,
124,Uterine Prolapse/psychology,
